,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
142,143,Luis Díaz,co COL,FW,Liverpool,26,1997,29.2,8,94,32,34.0,3.22,1.1,0.09,0.25,15.0,0,0,0,11.9,11.9,0.13,-3.9,-3.9,Matches
143,144,Eric Dier,eng ENG,DF,Tottenham,29,1994,2.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
144,145,Lucas Digne,fr FRA,DF,Aston Villa,30,1993,26.8,1,20,4,20.0,0.75,0.15,0.05,0.25,20.0,6,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
145,146,Issa Diop,fr FRA,DF,Fulham,26,1997,15.8,0,5,1,20.0,0.32,0.06,0.0,0.0,14.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
146,147,Axel Disasi,fr FRA,DF,Chelsea,25,1998,28.7,2,16,4,25.0,0.56,0.14,0.13,0.5,10.3,0,0,0,2.4,2.4,0.15,-0.4,-0.4,Matches
147,148,Ben Doak,sct SCO,FW,Liverpool,17,2005,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
148,149,Lewis Dobbin,eng ENG,MF,Everton,20,2003,2.6,1,5,2,40.0,1.94,0.78,0.2,0.5,15.6,0,0,0,0.3,0.3,0.06,0.7,0.7,Matches
149,150,Matt Doherty,ie IRL,DFMF,Wolves,31,1992,12.8,1,9,3,33.3,0.7,0.23,0.11,0.33,10.8,0,0,0,0.8,0.8,0.09,0.2,0.2,Matches
150,151,Jeremy Doku,be BEL,FWMF,Manchester City,21,2002,17.7,3,55,19,34.5,3.1,1.07,0.05,0.16,16.4,0,0,0,2.5,2.5,0.05,0.5,0.5,Matches
151,152,Nicolás Domínguez,ar ARG,MFFW,Nott'ham Forest,25,1998,16.6,2,22,6,27.3,1.32,0.36,0.09,0.33,16.9,0,0,0,1.3,1.3,0.06,0.7,0.7,Matches
152,153,Jamie Donley,eng ENG,FW,Tottenham,18,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
153,154,Abdoulaye Doucouré,ml MLI,FWMF,Everton,30,1993,29.2,7,47,21,44.7,1.61,0.72,0.15,0.33,12.2,0,0,0,8.8,8.8,0.2,-1.8,-1.8,Matches
154,155,Cheick Doucouré,ml MLI,MF,Crystal Palace,23,2000,10.2,0,6,2,33.3,0.59,0.2,0.0,0.0,21.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
155,156,Alfie Doughty,eng ENG,DF,Luton Town,23,1999,32.5,2,26,8,30.8,0.8,0.25,0.08,0.25,16.3,2,0,0,1.3,1.3,0.05,0.7,0.7,Matches
156,157,Tommy Doyle,eng ENG,MF,Wolves,21,2001,13.6,0,14,3,21.4,1.03,0.22,0.0,0.0,26.2,2,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
157,158,Radu Drăgușin,ro ROU,DF,Tottenham,21,2002,4.8,0,1,0,0.0,0.21,0.0,0.0,,10.4,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
158,159,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34,1989,22.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
159,160,Paul Dummett,wls WAL,DF,Newcastle Utd,31,1991,0.2,0,1,0,0.0,4.5,0.0,0.0,,16.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
160,161,Lewis Dunk,eng ENG,DF,Brighton,31,1991,31.9,3,33,12,36.4,1.04,0.38,0.09,0.25,13.4,4,0,0,3.1,3.1,0.09,-0.1,-0.1,Matches
161,162,Jhon Durán,co COL,FWMF,Aston Villa,19,2003,5.3,5,20,7,35.0,3.79,1.33,0.25,0.71,16.8,0,0,0,2.0,2.0,0.1,3.0,3.0,Matches
162,163,George Earthy,eng ENG,FW,West Ham,18,2004,0.4,1,1,1,100.0,2.65,2.65,1.0,1.0,3.8,0,0,0,0.3,0.3,0.31,0.7,0.7,Matches
163,164,Ederson,br BRA,GK,Manchester City,29,1993,30.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
164,165,Odsonne Édouard,fr FRA,FWMF,Crystal Palace,25,1998,17.3,7,51,19,37.3,2.95,1.1,0.14,0.37,13.7,3,0,0,6.2,6.2,0.12,0.8,0.8,Matches
165,166,John Egan,ie IRL,DF,Sheffield Utd,30,1992,5.4,0,3,1,33.3,0.56,0.19,0.0,0.0,10.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
166,167,Hjalmar Ekdal,se SWE,DF,Burnley,24,1998,4.9,0,2,1,50.0,0.41,0.21,0.0,0.0,16.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
167,168,Anthony Elanga,se SWE,FWMF,Nott'ham Forest,21,2002,27.0,5,54,22,40.7,2.0,0.81,0.09,0.23,16.2,0,0,0,6.6,6.6,0.12,-1.6,-1.6,Matches
168,169,Harvey Elliott,eng ENG,MFFW,Liverpool,20,2003,15.0,3,49,16,32.7,3.26,1.07,0.06,0.19,20.8,2,0,0,2.7,2.7,0.06,0.3,0.3,Matches
169,170,Mohamed Elneny,eg EGY,MF,Arsenal,31,1992,0.3,0,2,1,50.0,6.43,3.21,0.0,0.0,25.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
170,171,Emerson,br BRA,DF,Tottenham,24,1999,12.9,1,6,3,50.0,0.47,0.23,0.17,0.33,22.5,0,0,0,0.2,0.2,0.03,0.8,0.8,Matches
171,172,Julio Enciso,py PAR,MFFW,Brighton,19,2004,5.3,0,28,8,28.6,5.31,1.52,0.0,0.0,21.2,0,0,0,1.4,1.4,0.05,-1.4,-1.4,Matches
172,173,Wataru Endo,jp JPN,MF,Liverpool,30,1993,19.1,1,10,3,30.0,0.52,0.16,0.1,0.33,22.0,0,0,0,0.5,0.5,0.05,0.5,0.5,Matches
173,174,Christian Eriksen,dk DEN,MF,Manchester Utd,31,1992,12.7,1,13,4,30.8,1.03,0.32,0.08,0.25,22.0,2,0,0,1.0,1.0,0.08,0.0,0.0,Matches
174,175,Maxime Estève,fr FRA,DF,Burnley,21,2002,14.5,0,7,0,0.0,0.48,0.0,0.0,,19.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
175,176,Pervis Estupiñán,ec ECU,DF,Brighton,25,1998,13.8,2,11,6,54.5,0.8,0.43,0.18,0.33,18.8,0,0,0,1.0,1.0,0.09,1.0,1.0,Matches
176,177,Jonny Evans,nir NIR,DF,Manchester Utd,35,1988,15.5,0,1,0,0.0,0.06,0.0,0.0,,5.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
177,178,Eberechi Eze,eng ENG,MFFW,Crystal Palace,25,1998,22.8,11,82,33,40.2,3.59,1.45,0.12,0.3,20.7,12,1,1,9.1,8.3,0.1,1.9,1.7,Matches
178,179,Łukasz Fabiański,pl POL,GK,West Ham,38,1985,8.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
179,180,Romain Faivre,fr FRA,MFFW,Bournemouth,25,1998,0.5,0,2,0,0.0,4.39,0.0,0.0,,17.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
180,181,Ansu Fati,es ESP,MFFW,Brighton,20,2002,5.8,2,26,11,42.3,4.49,1.9,0.08,0.18,14.6,0,0,0,3.4,3.4,0.13,-1.4,-1.4,Matches
181,182,Felipe,br BRA,DF,Nott'ham Forest,34,1989,4.2,0,3,0,0.0,0.72,0.0,0.0,,16.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
182,183,Evan Ferguson,ie IRL,FW,Brighton,18,2004,15.2,6,33,20,60.6,2.17,1.32,0.18,0.3,15.5,0,0,0,4.6,4.6,0.14,1.4,1.4,Matches
183,184,Bruno Fernandes,pt POR,MFFW,Manchester Utd,28,1994,34.6,10,90,35,38.9,2.6,1.01,0.07,0.17,22.8,11,4,5,10.0,6.1,0.07,0.0,-0.1,Matches
184,185,Enzo Fernández,ar ARG,MF,Chelsea,22,2001,24.5,3,45,13,28.9,1.83,0.53,0.04,0.15,21.3,2,1,2,6.2,4.6,0.1,-3.2,-2.6,Matches
185,186,John Fleck,sct SCO,MFDF,Sheffield Utd,31,1991,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
186,187,Mark Flekken,nl NED,GK,Brentford,30,1993,36.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
187,188,Phil Foden,eng ENG,FWMF,Manchester City,23,2000,31.7,19,105,48,45.7,3.31,1.51,0.18,0.4,18.5,4,0,0,10.3,10.3,0.1,8.7,8.7,Matches
188,189,Wes Foderingham,eng ENG,GK,Sheffield Utd,32,1991,29.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
189,190,Pablo Fornals,es ESP,MFFW,West Ham,27,1996,4.7,0,7,3,42.9,1.48,0.63,0.0,0.0,20.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
190,191,Omari Forson,eng ENG,FW,Manchester Utd,19,2004,0.8,0,1,0,0.0,1.29,0.0,0.0,,21.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
191,192,Lyle Foster,za RSA,FWMF,Burnley,22,2000,21.1,5,34,16,47.1,1.61,0.76,0.15,0.31,14.6,0,0,0,4.5,4.5,0.13,0.5,0.5,Matches
192,193,Matheus França,br BRA,MFFW,Crystal Palace,19,2004,2.6,0,8,2,25.0,3.1,0.78,0.0,0.0,21.8,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
193,194,Nathan Fraser,ie IRL,FW,Wolves,18,2005,2.1,0,3,2,66.7,1.45,0.97,0.0,0.0,16.6,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
194,195,Cody Gakpo,nl NED,FWMF,Liverpool,24,1999,18.3,8,66,24,36.4,3.6,1.31,0.12,0.33,15.4,0,0,0,9.0,9.0,0.14,-1.0,-1.0,Matches
195,196,Conor Gallagher,eng ENG,MF,Chelsea,23,2000,34.8,5,48,17,35.4,1.38,0.49,0.1,0.29,20.4,0,0,0,4.2,4.2,0.09,0.8,0.8,Matches
196,197,Idrissa Gana Gueye,sn SEN,MF,Everton,33,1989,20.9,4,26,7,26.9,1.24,0.33,0.15,0.57,22.2,1,0,0,1.3,1.3,0.05,2.7,2.7,Matches
197,198,Alejandro Garnacho,ar ARG,FW,Manchester Utd,19,2004,28.5,7,100,27,27.0,3.51,0.95,0.07,0.26,15.8,0,0,0,8.4,8.3,0.08,-1.4,-1.3,Matches
198,199,James Garner,eng ENG,MF,Everton,22,2001,33.4,1,41,10,24.4,1.23,0.3,0.02,0.1,22.1,5,0,0,2.7,2.7,0.07,-1.7,-1.7,Matches
199,200,Saman Ghoddos,ir IRN,DF,Brentford,29,1993,8.2,1,9,2,22.2,1.1,0.24,0.11,0.5,22.5,0,0,0,0.3,0.3,0.03,0.7,0.7,Matches
200,201,Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,23,2000,35.1,5,70,13,18.6,2.0,0.37,0.06,0.31,19.8,4,1,1,6.9,6.1,0.09,-1.9,-2.1,Matches
201,202,Bryan Gil,es ESP,FWMF,Tottenham,22,2001,2.3,0,4,1,25.0,1.72,0.43,0.0,0.0,13.9,0,0,0,0.8,0.8,0.19,-0.8,-0.8,Matches
202,203,Alfie Gilchrist,eng ENG,DF,Chelsea,19,2003,2.3,1,5,1,20.0,2.17,0.43,0.2,1.0,13.5,0,0,0,0.3,0.3,0.06,0.7,0.7,Matches
203,204,Billy Gilmour,sct SCO,MF,Brighton,22,2001,23.6,0,25,5,20.0,1.06,0.21,0.0,0.0,25.4,0,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
204,205,Ben Godfrey,eng ENG,DF,Everton,25,1998,12.4,0,15,3,20.0,1.21,0.24,0.0,0.0,12.0,0,0,0,1.7,1.7,0.12,-1.7,-1.7,Matches
205,206,André Gomes,pt POR,MFFW,Everton,30,1993,5.6,1,8,4,50.0,1.42,0.71,0.13,0.25,22.4,2,0,0,0.3,0.3,0.04,0.7,0.7,Matches
206,207,João Gomes,br BRA,MF,Wolves,22,2001,29.4,2,26,7,26.9,0.88,0.24,0.08,0.29,18.5,0,0,0,1.7,1.7,0.07,0.3,0.3,Matches
207,208,Toti Gomes,pt POR,DF,Wolves,24,1999,30.8,1,10,5,50.0,0.32,0.16,0.1,0.2,9.9,0,0,0,1.6,1.6,0.16,-0.6,-0.6,Matches
208,209,Joe Gomez,eng ENG,DF,Liverpool,26,1997,19.8,0,19,2,10.5,0.96,0.1,0.0,0.0,19.9,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
209,210,Sergio Gómez,es ESP,FWMF,Manchester City,22,2000,0.6,0,2,0,0.0,3.4,0.0,0.0,,15.4,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
210,211,Enso Gonzalez,py PAR,MFDF,Wolves,18,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
211,212,Anthony Gordon,eng ENG,FW,Newcastle Utd,22,2001,32.1,11,80,29,36.3,2.49,0.9,0.13,0.34,17.3,1,1,1,10.2,9.4,0.12,0.8,0.6,Matches
212,213,Kaide Gordon,eng ENG,FW,Liverpool,18,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
213,214,Daniel Gore,eng ENG,MF,Manchester Utd,18,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
214,215,Ryan Gravenberch,nl NED,MF,Liverpool,21,2002,12.5,1,23,8,34.8,1.85,0.64,0.04,0.13,20.6,0,0,0,2.0,2.0,0.09,-1.0,-1.0,Matches
215,216,Ivo Grbić,hr CRO,GK,Sheffield Utd,27,1996,8.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
216,217,Jack Grealish,eng ENG,FWMF,Manchester City,27,1995,11.2,3,22,5,22.7,1.96,0.45,0.14,0.6,16.1,0,0,0,2.1,2.1,0.09,0.9,0.9,Matches
217,218,Pascal Groß,de GER,MFDF,Brighton,32,1991,34.6,4,54,18,33.3,1.56,0.52,0.06,0.17,19.8,4,1,1,6.5,5.7,0.11,-2.5,-2.7,Matches
218,219,Marc Guéhi,eng ENG,DF,Crystal Palace,23,2000,22.5,0,5,0,0.0,0.22,0.0,0.0,,9.7,0,0,0,0.6,0.6,0.13,-0.6,-0.6,Matches
219,220,Bruno Guimarães,br BRA,MF,Newcastle Utd,25,1997,36.3,7,48,16,33.3,1.32,0.44,0.15,0.44,17.8,0,0,0,4.8,4.8,0.1,2.2,2.2,Matches
220,221,Malo Gusto,fr FRA,DF,Chelsea,20,2003,19.5,0,15,5,33.3,0.77,0.26,0.0,0.0,18.2,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
221,222,Joško Gvardiol,hr CRO,DF,Manchester City,21,2002,25.9,4,32,13,40.6,1.24,0.5,0.13,0.31,15.6,0,0,0,3.1,3.1,0.1,0.9,0.9,Matches
222,223,Erling Haaland,no NOR,FW,Manchester City,23,2000,28.4,27,113,50,44.2,3.99,1.76,0.18,0.4,11.9,1,7,8,29.2,22.9,0.2,-2.2,-2.9,Matches
223,224,Antwoine Hackford,eng ENG,FW,Sheffield Utd,19,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
224,225,Lewis Hall,eng ENG,DF,Newcastle Utd,18,2004,8.7,1,11,4,36.4,1.27,0.46,0.09,0.25,20.8,0,0,0,0.3,0.3,0.03,0.7,0.7,Matches
225,226,Gustavo Hamer,nl NED,MF,Sheffield Utd,26,1997,32.3,4,49,13,26.5,1.52,0.4,0.08,0.31,23.5,6,0,0,3.0,3.0,0.06,1.0,1.0,Matches
226,227,Luke Harris,wls WAL,MF,Fulham,18,2005,0.8,0,1,1,100.0,1.2,1.2,0.0,0.0,11.2,0,0,0,0.3,0.3,0.28,-0.3,-0.3,Matches
227,228,Jack Harrison,eng ENG,MFFW,Everton,26,1996,24.6,3,34,9,26.5,1.38,0.37,0.09,0.33,17.8,1,0,0,3.6,3.6,0.11,-0.6,-0.6,Matches
228,229,Daiki Hashioka,jp JPN,DF,Luton Town,24,1999,6.6,0,2,0,0.0,0.3,0.0,0.0,,18.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
229,230,Kai Havertz,de GER,MFFW,Arsenal,24,1999,29.3,13,68,27,39.7,2.32,0.92,0.18,0.44,12.4,0,1,1,12.3,11.6,0.17,0.7,0.4,Matches
230,231,Jan Paul van Hecke,nl NED,DF,Brighton,23,2000,26.3,0,15,6,40.0,0.57,0.23,0.0,0.0,11.3,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
231,232,Hwang Hee-chan,kr KOR,FWMF,Wolves,27,1996,23.5,12,44,17,38.6,1.87,0.72,0.25,0.65,12.2,0,1,1,7.7,6.9,0.16,4.3,4.1,Matches
232,233,Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
233,234,Rico Henry,eng ENG,DF,Brentford,26,1997,4.5,0,2,0,0.0,0.45,0.0,0.0,,19.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
234,235,Son Heung-min,kr KOR,FW,Tottenham,31,1992,32.6,17,83,38,45.8,2.55,1.17,0.18,0.39,15.5,0,2,2,12.0,10.4,0.13,5.0,4.6,Matches
235,236,Aaron Hickey,sct SCO,DF,Brentford,21,2002,7.9,0,7,1,14.3,0.88,0.13,0.0,0.0,25.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
236,237,James Hill,eng ENG,DF,Bournemouth,21,2002,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
237,238,Jack Hinshelwood,eng ENG,DF,Brighton,18,2005,9.7,3,14,8,57.1,1.45,0.83,0.21,0.38,9.2,0,0,0,1.9,1.9,0.14,1.1,1.1,Matches
238,239,Mason Holgate,eng ENG,DF,Sheffield Utd,26,1996,7.9,0,3,0,0.0,0.38,0.0,0.0,,6.5,0,0,0,0.6,0.6,0.22,-0.6,-0.6,Matches
239,240,Callum Hudson-Odoi,eng ENG,FWMF,Nott'ham Forest,22,2000,20.6,8,38,20,52.6,1.84,0.97,0.21,0.4,18.3,1,0,0,2.7,2.7,0.07,5.3,5.3,Matches
240,241,Will Hughes,eng ENG,MF,Crystal Palace,28,1995,21.0,0,8,3,37.5,0.38,0.14,0.0,0.0,18.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
241,242,Pierre Højbjerg,dk DEN,MF,Tottenham,27,1995,14.6,0,19,6,31.6,1.3,0.41,0.0,0.0,26.5,3,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
242,243,Rasmus Højlund,dk DEN,FW,Manchester Utd,20,2003,24.0,10,38,20,52.6,1.58,0.83,0.26,0.5,11.6,0,0,0,7.6,7.6,0.2,2.4,2.4,Matches
243,244,Igor,br BRA,DF,Brighton,25,1998,18.2,0,5,0,0.0,0.27,0.0,0.0,,21.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
244,245,Danny Ings,eng ENG,FW,West Ham,31,1992,4.5,1,12,4,33.3,2.67,0.89,0.08,0.25,13.4,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Matches
245,246,Tim Iroegbunam,eng ENG,MF,Aston Villa,20,2003,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
246,247,Alexander Isak,se SWE,FW,Newcastle Utd,23,1999,25.1,21,72,36,50.0,2.87,1.44,0.22,0.44,14.5,1,5,6,20.3,15.6,0.22,0.7,0.4,Matches
247,248,Alex Iwobi,ng NGA,MF,Everton,27,1996,1.6,0,4,2,50.0,2.57,1.29,0.0,0.0,16.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
248,249,Alex Iwobi,ng NGA,FWMF,Fulham,27,1996,24.4,5,51,18,35.3,2.09,0.74,0.1,0.28,18.5,0,0,0,5.3,5.3,0.1,-0.3,-0.3,Matches
249,250,Nicolas Jackson,sn SEN,FW,Chelsea,22,2001,31.1,14,80,38,47.5,2.57,1.22,0.18,0.37,12.6,0,0,0,18.6,18.6,0.23,-4.6,-4.6,Matches
250,251,Reece James,eng ENG,DF,Chelsea,23,1999,4.7,0,7,1,14.3,1.5,0.21,0.0,0.0,20.9,3,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
251,252,Vitaly Janelt,de GER,MFDF,Brentford,25,1998,33.9,1,21,7,33.3,0.62,0.21,0.05,0.14,18.0,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
252,253,Daniel Jebbison,eng ENG,FW,Sheffield Utd,19,2003,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
253,254,Mathias Jensen,dk DEN,MF,Brentford,27,1996,24.5,3,14,7,50.0,0.57,0.29,0.21,0.43,26.7,3,0,0,0.7,0.7,0.05,2.3,2.3,Matches
254,255,Gabriel Jesus,br BRA,FW,Arsenal,26,1997,16.4,4,55,19,34.5,3.35,1.16,0.07,0.21,12.2,0,0,0,6.3,6.3,0.12,-2.3,-2.3,Matches
255,256,Raúl Jiménez,mx MEX,FW,Fulham,32,1991,15.5,7,41,17,41.5,2.65,1.1,0.17,0.41,14.7,0,0,0,5.2,5.2,0.13,1.8,1.8,Matches
256,257,João Pedro,br BRA,FWMF,Brighton,21,2001,22.7,9,70,20,28.6,3.08,0.88,0.07,0.25,14.4,0,4,5,11.9,7.9,0.11,-2.9,-2.9,Matches
257,258,Joelinton,br BRA,MFFW,Newcastle Utd,26,1996,14.2,2,19,7,36.8,1.34,0.49,0.11,0.29,15.5,0,0,0,3.1,3.1,0.16,-1.1,-1.1,Matches
258,259,Ryan John Giles,eng ENG,DFMF,Luton Town,23,2000,5.6,0,2,2,100.0,0.36,0.36,0.0,0.0,14.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
259,260,Ben Johnson,eng ENG,DFFW,West Ham,23,2000,6.0,0,6,2,33.3,0.99,0.33,0.0,0.0,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
260,261,Brennan Johnson,wls WAL,FW,Tottenham,22,2001,23.2,5,50,19,38.0,2.16,0.82,0.1,0.26,12.9,0,0,0,10.3,10.3,0.21,-5.3,-5.3,Matches
261,262,Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,22,2001,2.6,0,3,0,0.0,1.14,0.0,0.0,,19.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
262,263,Joseph Johnson,eng ENG,DF,Luton Town,17,2006,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
263,264,Sam Johnstone,eng ENG,GK,Crystal Palace,30,1993,20.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
264,265,Curtis Jones,eng ENG,MF,Liverpool,22,2001,13.0,1,19,5,26.3,1.47,0.39,0.05,0.2,16.2,0,0,0,2.6,2.6,0.14,-1.6,-1.6,Matches
265,266,Jorginho,it ITA,MF,Arsenal,31,1991,10.2,0,4,0,0.0,0.39,0.0,0.0,,24.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
266,267,Diogo Jota,pt POR,FW,Liverpool,26,1996,12.7,10,41,19,46.3,3.22,1.49,0.24,0.53,12.3,0,0,0,5.3,5.3,0.13,4.7,4.7,Matches
267,268,Mads Juel Andersen,dk DEN,DF,Luton Town,25,1997,4.4,1,3,1,33.3,0.68,0.23,0.33,1.0,9.2,0,0,0,0.3,0.3,0.09,0.7,0.7,Matches
268,269,Hamed Junior Traorè,ci CIV,MF,Bournemouth,23,2000,0.5,0,3,2,66.7,5.74,3.83,0.0,0.0,25.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
269,270,Mathias Jørgensen,dk DEN,DF,Brentford,33,1990,12.1,1,8,2,25.0,0.66,0.17,0.13,0.5,14.2,0,0,0,0.7,0.7,0.09,0.3,0.3,Matches
270,271,Issa Kaboré,bf BFA,DF,Luton Town,22,2001,19.2,0,6,1,16.7,0.31,0.05,0.0,0.0,15.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
271,272,Sasa Kalajdzic,at AUT,FW,Wolves,26,1997,1.8,2,4,2,50.0,2.17,1.08,0.5,1.0,11.2,0,0,0,1.1,1.1,0.26,0.9,0.9,Matches
272,273,Boubacar Kamara,fr FRA,MF,Aston Villa,23,1999,18.4,0,5,1,20.0,0.27,0.05,0.0,0.0,16.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
273,274,Willy Kambwala,fr FRA,DF,Manchester Utd,18,2004,3.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
274,275,Thomas Kaminski,be BEL,GK,Luton Town,30,1992,37.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
275,276,Loris Karius,de GER,GK,Newcastle Utd,30,1993,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
276,277,Michael Keane,eng ENG,DF,Everton,30,1993,4.9,1,6,4,66.7,1.23,0.82,0.17,0.25,10.8,0,0,0,0.7,0.7,0.12,0.3,0.3,Matches
277,278,Thilo Kehrer,de GER,DFMF,West Ham,26,1996,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
278,279,Caoimhín Kelleher,ie IRL,GK,Liverpool,24,1998,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
279,280,Lloyd Kelly,eng ENG,DF,Bournemouth,24,1998,17.3,0,4,1,25.0,0.23,0.06,0.0,0.0,8.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
280,281,Omari Kellyman,eng ENG,FW,Aston Villa,17,2005,0.4,0,1,0,0.0,2.43,0.0,0.0,,20.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
281,282,Milos Kerkez,hu HUN,DF,Bournemouth,19,2003,21.9,0,16,5,31.3,0.73,0.23,0.0,0.0,19.3,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
282,283,Kaine Kesler-Hayden,eng ENG,MFDF,Aston Villa,20,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
283,284,Max Kilman,eng ENG,DF,Wolves,26,1997,38.0,2,14,5,35.7,0.37,0.13,0.14,0.4,9.8,0,0,0,1.8,1.8,0.13,0.2,0.2,Matches
284,285,Jakub Kiwior,pl POL,DF,Arsenal,23,2000,10.5,1,6,2,33.3,0.57,0.19,0.17,0.5,13.8,0,0,0,0.8,0.8,0.14,0.2,0.2,Matches
285,286,Justin Kluivert,nl NED,MFFW,Bournemouth,24,1999,21.3,7,56,20,35.7,2.63,0.94,0.13,0.35,17.4,3,0,0,6.2,6.2,0.11,0.8,0.8,Matches
